image_id,iou,dice,n_pred,n_gt,erro_contagem
0727,0.6056,0.7543,17,34,17
1168,0.0000,0.0000,0,29,29
0156,0.5141,0.6791,36,48,12
1151,0.0000,0.0000,2,26,24
0424,0.5288,0.6917,26,35,9
1165,0.5572,0.7157,8,30,22
1109,0.4218,0.5933,19,33,14
0901,0.5892,0.7415,13,49,36
0324,0.0000,0.0000,4,36,32
